COUNTRY,CUISINES,RESTAURANT COUNTS
Czech Republic,Bulgarian,1
Czech Republic,Mediterranean,22
Czech Republic,Austrian,3
Czech Republic,Coffee and Tea,1
Czech Republic,Latin American,1
Czech Republic,Mexican,22
Czech Republic,Ice Cream,1
Czech Republic,Vietnamese,7
Czech Republic,Asian,21
Czech Republic,Nepalese,2
Czech Republic,Fast Food,19
Czech Republic,Tex-Mex,1
Czech Republic,Cuban,1
Czech Republic,BBQ,1
Brasil,Steak,11
Brasil,Drinks Only,1
Brasil,Mineira,1
Brasil,Desserts,2
Brasil,Cafe,8
Brasil,Swiss,1
Brasil,Indian,1
Brasil,Author,1
Brasil,Baiana,9
Brasil,Mexican,4
Brasil,Arabian,4
Brasil,Seafood,11
Brasil,American,10
Brasil,Grill,10
Brasil,Sushi,5
Brasil,Pizza,12
Brasil,Korean,1
Brasil,Peruvian,1
Brasil,Bar Food,23
Brasil,French,5
Brasil,Mediterranean,2
Brasil,Spanish,1
Brasil,Burger,7
Brasil,Thai,3
Brasil,Healthy Food,4
Brasil,Gaúcha,1
Brasil,Chinese,3
Brasil,Sandwich,2
Brasil,Contemporary,6
Brasil,Lebanese,2
Brasil,Japanese,23
Brasil,Bakery,4
Brasil,Beverages,4
Brasil,Italian,16
Brasil,Brazilian,74
Brasil,Juices,2
Brasil,International,7
Brasil,Latin American,1
Brasil,Ice Cream,2
Brasil,Fusion,1
Brasil,North Eastern,5
Brasil,Argentine,3
Brasil,Mongolian,1
Brasil,Fast Food,14
Brasil,Gourmet Fast Food,1
Brasil,BBQ,4
Slovakia,Steak,5
Slovakia,Drinks Only,2
Slovakia,Turkish,4
Slovakia,,2
Slovakia,Desserts,1
Slovakia,Balkans,2
Slovakia,Cafe,13
Slovakia,Kebab,1
Slovakia,Indian,1
Slovakia,Hungarian,6
Slovakia,Mexican,2
Slovakia,Arabian,1
Slovakia,Seafood,7
Slovakia,Others,45
Slovakia,American,4
Slovakia,Grill,38
Slovakia,Sushi,7
Slovakia,Pizza,86
Slovakia,Czech,33
Slovakia,Greek,2
Slovakia,French,9
Slovakia,Mediterranean,15
Slovakia,Spanish,2
Slovakia,Burger,23
Slovakia,Thai,1
Slovakia,Healthy Food,15
Slovakia,Slovak,187
Slovakia,Chinese,2
Slovakia,Lebanese,1
Slovakia,Japanese,8
Slovakia,Vegetarian,1
Slovakia,Italian,66
Slovakia,Polish,1
Slovakia,Crepes,1
Slovakia,Russian,2
Slovakia,Austrian,2
Slovakia,Ice Cream,2
Slovakia,Asian,6
Slovakia,Fast Food,5
Slovakia,Tex-Mex,1
Portugal,Steak,9
Portugal,Desserts,6
Portugal,Cafe,8
Portugal,Mexican,5
Portugal,Tapas,5
Portugal,Seafood,2
Portugal,American,4
Portugal,Grill,4
Portugal,Finger Food,15
Portugal,Pizza,12
Portugal,Sushi,9
Portugal,Peruvian,1
Portugal,Petiscos,11
Portugal,Mediterranean,7
Portugal,Street Food,1
Portugal,Burger,18
Portugal,Healthy Food,4
Portugal,Author,7
Portugal,Contemporary,1
Portugal,Japanese,7
Portugal,Bakery,1
Portugal,Vegetarian,3
Portugal,Beverages,9
Portugal,Portuguese,15
Portugal,Italian,13
Portugal,Brazilian,1
Portugal,Juices,1
Portugal,Fresh Fish,1
Portugal,Latin American,1
Portugal,Ice Cream,3
Portugal,Fusion,2
Portugal,Argentine,2
Portugal,Gourmet Fast Food,2
Portugal,BBQ,2
Malaysia,Steak,2
Malaysia,Thai,3
Malaysia,Healthy Food,4
Malaysia,Indonesian,1
Malaysia,Western,13
Malaysia,Malaysian,10
